COUNTYNAME,DATETIME,DATE,LON,LAT,PK
Camden,2/11/2013 3:33:20 PM,2/11/2013,-75.02813,39.93674,836
Burlington,11/28/2013 12:32:10 PM,11/28/2013,-75.03682,40.00234,837
Burlington,3/31/2013 4:08:22 PM,3/31/2013,-74.93747,39.90597,838
Camden,1/25/2014 2:47:59 PM,1/25/2014,-75.02633,39.95587,839
Atlantic,5/12/2013 1:12:42 PM,5/12/2013,-74.43484,39.36025,840
Atlantic,3/31/2013 3:13:13 PM,3/31/2013,-74.43402,39.35969,841
Burlington,12/12/2013 10:11:45 PM,12/12/2013,-74.94717,39.92131,842
Camden,5/10/2013 4:59:15 PM,5/10/2013,-75.02639,39.94527,843
Atlantic,3/31/2013 12:38:58 PM,3/31/2013,-74.43622,39.36075,844
Burlington,5/12/2013 9:24:43 PM,5/12/2013,-74.99163,39.96142,845
Burlington,2/14/2013 12:43:39 PM,2/14/2013,-74.9876,39.95585,846
Camden,9/2/2013 12:05:23 PM,9/2/2013,-74.90117,39.71769,847
Camden,2/11/2013 3:32:23 PM,2/11/2013,-75.02841,39.93653,848
Burlington,9/2/2013 6:25:49 PM,9/2/2013,-74.9389,39.90773,849
Camden,6/20/2013 2:45:57 PM,6/20/2013,-75.02774,39.99216,850
Camden,9/2/2013 6:03:12 PM,9/2/2013,-74.90981,39.78621,851
Atlantic,5/12/2013 1:11:50 PM,5/12/2013,-74.43933,39.36072,852
Camden,2/14/2013 5:49:48 PM,2/14/2013,-74.88744,39.68131,853
Burlington,8/15/2013 3:28:44 PM,8/15/2013,-74.9406,39.90981,854
Camden,2/11/2013 6:45:55 PM,2/11/2013,-75.02289,39.98757,855
Camden,12/27/2013 3:09:49 PM,12/27/2013,-75.02885,39.93628,856
Camden,3/31/2013 3:55:44 PM,3/31/2013,-74.92072,39.79393,857
Camden,9/2/2013 6:43:29 PM,9/2/2013,-75.02091,39.98713,858
Atlantic,11/28/2013 2:04:41 PM,11/28/2013,-74.42094,39.36575,859
Atlantic,12/12/2013 8:53:01 PM,12/12/2013,-74.43875,39.36074,860
Camden,9/2/2013 5:51:58 PM,9/2/2013,-74.89871,39.71573,861
Atlantic,9/2/2013 4:37:57 PM,9/2/2013,-74.50935,39.3904,862
Camden,9/2/2013 5:57:20 PM,9/2/2013,-74.90953,39.78368,863
Camden,1/25/2014 2:49:33 PM,1/25/2014,-75.02765,39.94981,864
Camden,5/12/2013 12:14:20 PM,5/12/2013,-74.93079,39.81255,865
Atlantic,6/16/2013 12:41:50 PM,6/16/2013,-74.43967,39.36126,866
Burlington,1/25/2014 2:41:18 PM,1/25/2014,-75.0372,40.0034,867
Burlington,12/12/2013 10:15:03 PM,12/12/2013,-74.9613,39.9318,868
Camden,6/20/2013 1:59:06 PM,6/20/2013,-75.10544,39.94231,869
Burlington,2/14/2013 12:37:31 PM,2/14/2013,-75.03941,40.00738,870
Camden,2/11/2013 6:28:34 PM,2/11/2013,-75.02165,39.98794,871
Camden,3/31/2013 3:55:52 PM,3/31/2013,-74.92239,39.7949,872
Camden,6/20/2013 2:31:50 PM,6/20/2013,-75.0268,39.97873,873
Burlington,1/25/2014 2:41:18 PM,1/25/2014,-75.0372,40.0034,874
Camden,2/14/2013 6:13:59 PM,2/14/2013,-74.92708,39.82873,875
Atlantic,11/28/2013 1:59:51 PM,11/28/2013,-74.4418,39.36278,876
Camden,3/22/2013 5:09:59 PM,3/22/2013,-75.02491,39.96191,877
Camden,6/20/2013 2:25:36 PM,6/20/2013,-75.07641,39.93708,878
Burlington,8/15/2013 3:23:06 PM,8/15/2013,-74.96275,39.93261,879
Atlantic,3/31/2013 2:13:53 PM,3/31/2013,-74.42152,39.36288,880
Camden,11/28/2013 12:39:31 PM,11/28/2013,-75.02206,39.98754,881
Camden,12/27/2013 6:55:51 PM,12/27/2013,-75.0269,39.99209,882
Camden,12/27/2013 6:33:52 PM,12/27/2013,-75.02984,39.93612,883
Burlington,2/11/2013 6:48:58 PM,2/11/2013,-75.03759,40.0055,884
Camden,2/14/2013 1:37:31 PM,2/14/2013,-74.89321,39.69524,885
Camden,2/11/2013 6:45:55 PM,2/11/2013,-75.02289,39.98757,886
Camden,5/12/2013 12:13:36 PM,5/12/2013,-74.92947,39.8181,887
Camden,8/15/2013 2:58:41 PM,8/15/2013,-75.0301,39.93616,888
Camden,12/27/2013 3:04:28 PM,12/27/2013,-75.02427,39.96518,889
Atlantic,1/1/2013 5:09:04 PM,1/1/2013,-74.43722,39.36,890
Atlantic,9/2/2013 4:20:41 PM,9/2/2013,-74.42994,39.36145,891
Atlantic,2/14/2013 2:11:17 PM,2/14/2013,-74.43637,39.36068,892
Camden,12/27/2013 6:45:32 PM,12/27/2013,-75.02746,39.94659,893
Burlington,12/12/2013 10:06:42 PM,12/12/2013,-74.94283,39.91405,894
Camden,12/27/2013 6:35:23 PM,12/27/2013,-75.02966,39.93402,895
Camden,6/20/2013 2:20:35 PM,6/20/2013,-75.07578,39.93726,896
Burlington,3/31/2013 4:15:03 PM,3/31/2013,-74.99627,39.96339,897
Atlantic,8/6/2013 1:14:56 PM,8/6/2013,-74.43579,39.36092,898
Atlantic,12/12/2013 4:20:51 PM,12/12/2013,-74.43472,39.35937,899
